Date,Open,High,Low,Close,Adj Close,Volume
2022-03-02,1800.000000,1826.949951,1768.500000,1784.500000,1784.500000,3152628
2022-03-03,1810.000000,1813.550049,1745.550049,1752.300049,1752.300049,2259979
2022-03-04,1740.000000,1754.050049,1703.000000,1711.750000,1711.750000,3906819
2022-03-07,1658.250000,1666.800049,1605.550049,1634.449951,1634.449951,6318251
2022-03-08,1627.900024,1666.000000,1595.000000,1658.500000,1658.500000,4421730
2022-03-09,1676.500000,1699.800049,1650.050049,1690.949951,1690.949951,3306502
2022-03-10,1740.000000,1758.000000,1707.000000,1728.199951,1728.199951,2776325
2022-03-11,1720.000000,1735.449951,1705.800049,1728.650024,1728.650024,1577597
2022-03-14,1735.000000,1754.000000,1715.500000,1746.750000,1746.750000,1558334
2022-03-15,1748.000000,1765.000000,1726.599976,1743.449951,1743.449951,2062332
2022-03-16,1761.000000,1770.650024,1746.199951,1756.199951,1756.199951,2101909
2022-03-17,1781.150024,1804.599976,1768.449951,1787.900024,1787.900024,3383036
2022-03-21,1805.000000,1805.000000,1745.000000,1756.300049,1756.300049,2301462
2022-03-22,1756.300049,1777.000000,1721.150024,1774.050049,1774.050049,3986030
2022-03-23,1780.000000,1791.550049,1759.150024,1767.250000,1767.250000,1574226
2022-03-24,1755.000000,1779.699951,1751.000000,1771.550049,1771.550049,1580887
2022-03-25,1775.599976,1777.900024,1739.000000,1751.099976,1751.099976,1483897
2022-03-28,1752.000000,1755.000000,1725.099976,1741.599976,1741.599976,1799629
2022-03-29,1748.699951,1754.099976,1733.000000,1746.650024,1746.650024,2071779
2022-03-30,1766.900024,1777.050049,1754.099976,1773.599976,1773.599976,1712835
